Gender,Age,Height (in cm)[1 feet =30.48 cm],Weight (in kg),For how long in a day do you carry your bag,"How many hours in a day do you overexert your shoulders (eg: heavy-lifting, pulling)",No. of hours in a day standing straight,No. of hours in a day standing in a slouched position,No. of hours in a day standing with more pressure on one leg
0,21,176,69,2,1,6,3,3
0,21,158,45,3,0,4,0,0
0,21,163,68,1,1,1,1,3
0,27,160,69,1,1,2,0,0
0,21,163,62,2,0,3,5,1
0,21,167,46,1,0,1,3,1
0,20,155,50,1,1,3,3,1
0,21,146,40,1,1,5,1,1
1,18,165,48,3,1,2,1,1
0,21,165,49,1,1,2,1,1
1,21,171,78,4,2,2,1,3
0,20,155,50,3,1,5,1,1
0,21,150,79,1,0,2,1,0
1,22,172,74,2,1,2,2,2
1,21,167,69,1,2,1,1,0
1,21,183,92,1,0,5,0,0
1,21,180,69,4,2,4,2,2
1,21,170,55,4,1,3,3,4
1,20,172,59,3,0,4,1,3
0,21,156,58,1,0,5,2,2
1,21,176,75,1,0,4,3,1
0,21,165,62,3,1,3,4,2
0,21,165,50,3,0,3,3,1
0,21,160,50,2,1,2,4,1
0,20,165,63,1,1,1,0,0
0,21,160,68,5,0,1,0,1
1,20,178,80,3,1,2,1,1
0,21,173,75,2,3,2,2,0
1,22,165,81,1,1,1,1,1
1,21,160,58,5,0,3,0,0
1,21,176,71,1,2,3,3,1
0,21,158,57,4,1,2,2,1
0,21,167,52,4,5,5,3,4
0,21,164,50,1,2,3,2,2
